Level,ISO1_3C,Admin0
Country,AND,Andorra
Country,ARE,United Arab Emirates
Country,AFG,Afghanistan
Country,ATG,Antigua and Barbuda
Country,ALB,Albania
Country,ARM,Armenia
Country,AGO,Angola
Country,ARG,Argentina
Country,AUT,Austria
Country,AUS,Australia
Cruise Ship,AUS,Australia
Province,AUS,Australia
Province,AUS,Australia
Province,AUS,Australia
Province,AUS,Australia
Province,AUS,Australia
Province,AUS,Australia
Province,AUS,Australia
Province,AUS,Australia
Country,AZE,Azerbaijan
Country,BIH,Bosnia and Herzegovina
Country,BRB,Barbados
Country,BGD,Bangladesh
Country,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Province,BEL,Belgium
Country,BFA,Burkina Faso
Country,BGR,Bulgaria
Country,BHR,Bahrain
Country,BDI,Burundi
Country,BEN,Benin
Country,BRN,Brunei
Country,BOL,Bolivia
Country,BRA,Brazil
State,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
State,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
State,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
State,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
State,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
Municipality,BRA,Brazil
