parent_cod,code,name,area
UGA,UGA.39_1,Mbarara,10034140810.20
UGA,UGA.7_1,Busia,739349116.42
GNB,GNB.5_1,Cacheu,4790665555.22
SYC,SYC.10_1,Belombre,7949528.00
LBY,LBY.15_1,Misratah,28233608859.24
TZA,TZA.25_1,Singida,48554340907.48
COD,COD.7_1,Kasaï-Central,57080529363.85
ETH,ETH.5_1,Dire Dawa,1054429694.59
SOM,SOM.9_1,Jubbada Dhexe,18804978931.72
DZA,DZA.46_1,Tissemsilt,3206364087.75
NGA,NGA.9_1,Cross River,21298163441.25
EGY,EGY.12_1,Al Qalyubiyah,1149048897.51
CPV,CPV.17_1,São Lourenço dos Órgãos,35143612.72
TUN,TUN.3_1,Ben Arous (Tunis Sud),696808902.37
SDN,SDN.3_1,Blue Nile,37026351441.75
BFA,BFA.9_1,Haut-Bassins,25618426726.35
KEN,KEN.41_1,Tharaka-Nithi,2570216437.11
NER,NER.3_1,Dosso,31459802935.58
NGA,NGA.35_1,Taraba,60302073577.58
CAF,CAF.1_1,Bamingui-Bangoran,58476401439.69
TUN,TUN.21_1,Tataouine,39532242562.23
TZA,TZA.8_1,Kigoma,44361045587.20
LBR,LBR.8_1,Lofa,10255851327.74
DZA,DZA.4_1,Alger,774893651.13
LSO,LSO.10_1,Thaba-Tseka,4833398182.16
MAR,MAR.15_1,Taza - Al Hoceima - Taounate,21618416681.43
CPV,CPV.5_1,Paúl,47879961.93
UGA,UGA.25_1,Kiboga,4039407308.39
MOZ,MOZ.7_1,Nampula,78197745193.38
NGA,NGA.2_1,Adamawa,34285012225.89
DZA,DZA.30_1,Mostaganem,2209901328.56
KEN,KEN.13_1,Kiambu,2569985598.61
TCD,TCD.23_1,Wadi Fira,54121316399.91
KEN,KEN.28_1,Mombasa,267979485.47
CIV,CIV.12_1,Woroba,31512944764.52
BWA,BWA.5_1,Ghanzi,114406071916.08
SYC,SYC.2_1,Anse Boileau,12927385.98
AGO,AGO.13_1,Lunda Sul,77913927154.91
GMB,GMB.1_1,Banjul,74117742.71
COG,COG.3_1,Cuvette-Ouest,24602292348.28
NGA,NGA.26_1,Nassarawa,26325187475.95
LSO,LSO.8_1,Qacha's Nek,2122474705.02
GIN,GIN.3_1,Faranah,35751605306.32
KEN,KEN.4_1,Busia,1800030332.46
MUS,MUS.4_1,Grand Port,258678055.20
SEN,SEN.4_1,Kaffrine,11325016934.45
BDI,BDI.2_1,Bujumbura Mairie,200848355.85
COD,COD.18_1,Mongala,56181750426.52
LBY,LBY.4_1,Al Jifarah,1713928396.09
MYT,MYT.5_1,Chiconi,7423499.91
MAR,MAR.7_1,Laâyoune - Boujdour - Sakia El Hamra,5738018659.06
GNQ,GNQ.6_1,Litoral,7203728885.17
BWA,BWA.12_1,North-West,111335271418.00
DJI,DJI.4_1,Obock,4429920671.79
UGA,UGA.8_1,Gulu,11850579165.41
SYC,SYC.11_1,Cascade,11253973.28
LBY,LBY.16_1,Murzuq,267410570312.41
TZA,TZA.26_1,Tabora,75480667336.50
COD,COD.8_1,Kasaï-Oriental,10198532360.83
BFA,BFA.3_1,Centre-Est,14695623698.79
KEN,KEN.12_1,Kericho,2580646454.43
KEN,KEN.6_1,Embu,2835162230.18
MWI,MWI.20_1,Nkhotakota,7857775260.72
EGY,EGY.13_1,Al Uqsur,616772893.52
CPV,CPV.18_1,São Miguel,79626894.72
CAF,CAF.12_1,Ombella-M'Poko,31790361449.81
DZA,DZA.16_1,Djelfa,32354966675.09
BWA,BWA.7_1,Kgalagadi,105133399757.42
TUN,TUN.4_1,Bizerte,3389049129.34
LBR,LBR.2_1,Bong,8382874831.14
SDN,SDN.4_1,Central Darfur,37116229899.98
SSD,SSD.1_1,Central Equatoria,43677204269.21
NGA,NGA.12_1,Edo,19597562610.49
NER,NER.4_1,Maradi,39322936070.75
TZA,TZA.10_1,Lindi,65086766087.78
TCD,TCD.8_1,Hadjer-Lamis,30440270300.26
MWI,MWI.4_1,Chiradzulu,758948851.56
NGA,NGA.36_1,Yobe,45568074480.07
TUN,TUN.22_1,Tozeur,6139634197.45
TZA,TZA.9_1,Kilimanjaro,13210782944.38
LBR,LBR.9_1,Margibi,2806270818.90
DZA,DZA.5_1,Annaba,1408498837.53
NAM,NAM.8_1,Omaheke,84741636903.88
CPV,CPV.6_1,Porto Novo,578544692.40
UGA,UGA.26_1,Kisoro,716855640.81
MOZ,MOZ.8_1,Nassa,129253056146.22
MUS,MUS.12_1,Savanne,246598047.24
NGA,NGA.3_1,Akwa Ibom,6709867545.59
UGA,UGA.31_1,Lake Albert,3192021680.66
MLI,MLI.1_1,Bamako,244520106.27
CMR,CMR.8_1,Ouest,13889354203.62
KEN,KEN.14_1,Kilifi,12660234134.09
EGY,EGY.15_1,As Suways,9404741065.49
DJI,DJI.3_1,Djibouti,773891851.51
KEN,KEN.29_1,Murang'a,2523438438.67
CPV,CPV.11_1,Sal,223176438.53
CIV,CIV.13_1,Yamoussoukro,2056869020.09
BWA,BWA.6_1,Jwaneng,14728088.13
SYC,SYC.3_1,Anse Étoile,8486758.11
AGO,AGO.14_1,Malanje,82171304104.77
BWA,BWA.9_1,Kweneng,36937993308.70
GMB,GMB.2_1,Lower River,1493084293.66
NGA,NGA.14_1,Enugu,7701962528.57
NGA,NGA.20_1,Kano,20084292914.14
COG,COG.4_1,Cuvette,44858568908.56
ERI,ERI.1_1,Anseba,1218369459.00
LSO,LSO.9_1,Quthing,2962732891.76
GIN,GIN.4_1,Kankan,71755652220.38
KEN,KEN.5_1,Elgeyo-Marakwet,2810876296.91
GHA,GHA.9_1,Volta,20523250064.01
MUS,MUS.5_1,Moka,236760988.67
SEN,SEN.5_1,Kaolack,5405895019.95
BDI,BDI.3_1,Bujumbura Rural,1558970337.07
COD,COD.19_1,Nord-Kivu,58710787458.47
LBY,LBY.5_1,Al Jufrah,111237822068.70
MYT,MYT.6_1,Chirongui,28700960.39
